"","year","country","rank","total_points"
"540",2014,"Tunisia",47,613
"541",2018,"Tunisia",33,866
"542",2022,"Tunisia",28,1506
"543",1994,"Türkiye",52,32
"544",1998,"Türkiye",40,45
"545",2002,"Türkiye",29,613
"546",2006,"Türkiye",12,743
"547",2010,"Türkiye",23,876
"548",2014,"Türkiye",37,699
"549",2018,"Türkiye",33,881
"550",2022,"Türkiye",35,1478
"551",1994,"Ukraine",96,16
"552",1998,"Ukraine",63,37
"553",2002,"Ukraine",36,591
"554",2006,"Ukraine",47,636
"555",2010,"Ukraine",23,868
"556",2014,"Ukraine",36,714
"557",2018,"Ukraine",30,902
"558",2022,"Ukraine",25,1527
"559",1994,"United Arab Emirates",55,31
"560",1998,"United Arab Emirates",60,38
"561",2002,"United Arab Emirates",62,514
"562",2006,"United Arab Emirates",85,478
"563",2010,"United Arab Emirates",104,312
"564",2014,"United Arab Emirates",97,367
"565",2018,"United Arab Emirates",72,596
"566",2022,"United Arab Emirates",70,1344
"567",1994,"United States",24,46
"568",1998,"United States",21,53
"569",2002,"United States",18,653
"570",2006,"United States",11,749
"571",2010,"United States",20,893
"572",2014,"United States",24,845
"573",2018,"United States",27,922
"574",2022,"United States",19,1575
"575",1994,"Uruguay",22,47
"576",1998,"Uruguay",40,45
"577",2002,"Uruguay",37,585
"578",2006,"Uruguay",22,706
"579",2010,"Uruguay",21,901
"580",2014,"Uruguay",8,1149
"581",2018,"Uruguay",13,1154
"582",2022,"Uruguay",9,1633
"583",1994,"Wales",32,41
"584",1998,"Wales",79,32
"585",2002,"Wales",94,422
"586",2006,"Wales",65,536
"587",2010,"Wales",70,469
"588",2014,"Wales",60,544
"589",2018,"Wales",17,1085
"590",2022,"Wales",20,1553
"591",1994,"Yugoslavia",73,24
"592",1998,"Yugoslavia",50,42
"593",2002,"Yugoslavia",13,687
"594",1994,"Zaire",67,26
"595",1998,"Zaire",67,36
"596",2002,"Zaire",58,500
