"","home_team","away_team","Year","home_score","away_score","outcome","home_foreign","away_foreign"
"453","Soviet Union","Hungary",1986,6,0,"w",2,0
"454","Nigeria","Iceland",2018,2,0,"w",4,2
"455","Argentina","Iceland",2018,1,1,"t",3,2
"456","Scotland","Iran",1978,1,1,"t",1,1
"457","Peru","Iran",1978,4,1,"w",1,1
"458","Netherlands","Iran",1978,3,0,"w",0,1
"459","Germany","Iran",1998,2,0,"w",22,1
"460","United States","Iran",1998,1,2,"l",11,1
"461","Yugoslavia","Iran",1998,1,0,"w",22,1
"462","Portugal","Iran",2006,2,0,"w",7,2
"463","Mexico","Iran",2006,3,1,"w",3,2
"464","Bosnia and Herzegovina","Iran",2014,3,1,"w",23,3
"465","Argentina","Iran",2014,1,0,"w",3,3
"466","Morocco","Iran",2018,0,1,"l",18,1
"469","Paraguay","Iraq",1986,1,0,"w",1,0
"470","France","Ireland",1958,4,0,"w",5,0
"471","Argentina","Ireland",1958,3,1,"w",1,0
"472","Germany","Ireland",1958,2,2,"t",22,0
"473","France","Ireland",1982,4,1,"w",10,2
"474","Honduras","Ireland",1982,1,1,"t",0,2
"475","Yugoslavia","Ireland",1982,0,0,"t",0,2
"476","Austria","Ireland",1982,2,2,"t",1,2
"477","Algeria","Ireland",1986,1,1,"t",5,2
"478","England","Ireland",1990,1,1,"t",3,16
"479","Italy","Ireland",1990,1,0,"w",1,16
"480","Italy","Ireland",1994,0,1,"l",1,15
"481","Netherlands","Ireland",1994,2,0,"w",5,15
"482","Mexico","Ireland",1994,2,1,"w",1,15
"483","Spain","Ireland",2002,1,1,"t",1,11
"484","Saudi Arabia","Ireland",2002,0,3,"l",0,11
"485","Germany","Ireland",2002,1,1,"t",23,11
"486","Sweden","Israel",1970,1,1,"t",11,7
"487","Uruguay","Israel",1970,2,0,"w",1,7
"488","Sweden","Israel",1970,1,1,"t",0,7
"489","Italy","Israel",1970,0,0,"t",1,7
"490","Sweden","Italy",1950,3,2,"w",0,0
"491","Switzerland","Italy",1954,2,1,"w",2,0
"492","Switzerland","Italy",1954,4,1,"w",2,0
"493","Chile","Italy",1962,2,0,"w",0,6
"494","Germany","Italy",1962,0,0,"t",21,6
"495","Soviet Union","Italy",1966,1,0,"w",1,1
"496","North Korea","Italy",1966,1,0,"w",0,1
"497","Uruguay","Italy",1970,0,0,"t",1,1
"498","Brazil","Italy",1970,4,1,"w",1,1
"499","Poland","Italy",1974,2,1,"w",1,2
"500","Argentina","Italy",1974,1,1,"t",0,2
"501","Brazil","Italy",1978,2,1,"w",2,1
"502","Germany","Italy",1978,0,0,"t",1,1
"503","Netherlands","Italy",1978,2,1,"w",0,1
